CELL10MIN,xcoord,ycoord,lake
410,-78.41666794,43.91667557,ON
411,-81.75,42.41667557,ER
411,-83.08333206,45.75001526,HU
411,-86.25,45.58334541,MI
411,-78.25,43.91667557,ON
412,-81.58333206,42.41667557,ER
412,-82.91666794,45.75001526,HU
412,-86.08333206,45.58334541,MI
412,-78.08333206,43.91667557,ON
413,-81.41666794,42.41667557,ER
413,-82.75,45.75001526,HU
413,-85.91666794,45.58334541,MI
413,-77.91666794,43.91667557,ON
414,-81.25,42.41667557,ER
414,-82.58333206,45.75001526,HU
414,-85.75,45.58334541,MI
414,-77.75,43.91667557,ON
415,-81.08333206,42.41667557,ER
415,-82.33333206,45.75001526,HU
415,-85.58333206,45.58334541,MI
415,-77.58333206,43.91667557,ON
416,-80.91666794,42.41667557,ER
416,-85.41666794,45.58334541,MI
416,-77.41666794,43.91667557,ON
417,-80.75,42.41667557,ER
417,-85.25,45.58334541,MI
417,-77.25,43.91667557,ON
418,-80.58333206,42.41667557,ER
418,-85,45.58334541,MI
418,-89.33333206,48.41667557,SU
418,-77.08333206,43.91667557,ON
419,-80.41666794,42.41667557,ER
419,-81.83333206,45.75001526,HU
419,-89.08333206,48.50000954,SU
419,-76.91666794,43.91667557,ON
420,-80.25,42.41667557,ER
420,-81.58333206,45.75001526,HU
420,-88.91666794,48.41667557,SU
420,-76.75,43.91667557,ON
421,-80.08333206,42.41667557,ER
421,-81.41666794,45.75001526,HU
421,-88.75,48.41667557,SU
421,-76.58333206,43.91667557,ON
422,-79.91666794,42.41667557,ER
422,-81.25,45.75001526,HU
422,-88.58333206,48.41667557,SU
422,-76.41666794,43.91667557,ON
423,-79.75,42.41667557,ER
423,-81.08333206,45.75001526,HU
423,-88.41666794,48.41667557,SU
423,-76.25,43.91667557,ON
424,-79.58333206,42.41667557,ER
424,-80.91666794,45.75001526,HU
424,-88.25,48.41667557,SU
424,-76.08333206,43.91667557,ON
425,-79.41666794,42.41667557,ER
425,-80.66666794,45.75001526,HU
425,-88.08333206,48.41667557,SU
426,-87.91666794,48.41667557,SU
427,-87.75,48.41667557,SU
428,-87.58333206,48.41667557,SU
429,-87.41666794,48.41667557,SU
430,-87.25,48.41667557,SU
431,-87.08333206,48.41667557,SU
432,-86.91666794,48.41667557,SU
433,-86.75,48.41667557,SU
434,-86.58333206,48.41667557,SU
435,-86.41666794,48.41667557,SU
436,-86.25,48.41667557,SU
504,-84.25,45.58334541,HU
504,-87.41666794,45.41667557,MI
505,-84.08333206,45.50000954,HU
505,-87.25,45.41667557,MI
505,-79.25,43.75001526,ON
506,-83.91666794,45.58334541,HU
506,-87.08333206,45.41667557,MI
506,-79.08333206,43.83333969,ON
507,-83.75,45.58334541,HU
507,-86.91666794,45.41667557,MI
507,-78.91666794,43.83333969,ON
508,-82.25,42.25000572,ER
508,-83.58333206,45.58334541,HU
508,-86.75,45.41667557,MI
508,-78.75,43.75001526,ON
509,-82.08333206,42.25000572,ER
509,-83.41666794,45.58334541,HU
509,-86.58333206,45.41667557,MI
509,-78.58333206,43.75001526,ON
510,-81.91666794,42.3333416,ER
510,-83.25,45.58334541,HU
510,-86.41666794,45.41667557,MI
510,-78.41666794,43.75001526,ON
511,-81.75,42.25000572,ER
511,-83.08333206,45.58334541,HU
511,-86.25,45.41667557,MI
511,-78.25,43.75001526,ON
512,-81.58333206,42.25000572,ER
512,-82.91666794,45.58334541,HU
512,-86.08333206,45.41667557,MI
512,-78.08333206,43.75001526,ON
513,-81.41666794,42.25000572,ER
513,-82.75,45.58334541,HU
513,-85.91666794,45.41667557,MI
513,-77.91666794,43.75001526,ON
514,-81.25,42.25000572,ER
514,-82.58333206,45.58334541,HU
514,-85.75,45.41667557,MI
514,-77.75,43.75001526,ON
515,-81.08333206,42.25000572,ER
515,-82.41666794,45.58334541,HU
515,-85.58333206,45.41667557,MI
515,-77.58333206,43.75001526,ON
516,-80.91666794,42.25000572,ER
516,-82.25,45.58334541,HU
516,-85.41666794,45.41667557,MI
516,-77.41666794,43.75001526,ON
517,-80.75,42.25000572,ER
517,-82.08333206,45.58334541,HU
517,-85.25,45.41667557,MI
517,-77.25,43.75001526,ON
518,-80.58333206,42.25000572,ER
518,-81.91666794,45.58334541,HU
518,-85.08333206,45.41667557,MI
518,-89.25,48.25000572,SU
518,-77.08333206,43.75001526,ON
519,-80.41666794,42.25000572,ER
519,-81.75,45.58334541,HU
519,-84.91666794,45.41667557,MI
519,-89.08333206,48.25000572,SU
519,-76.91666794,43.75001526,ON
520,-80.25,42.25000572,ER
520,-81.58333206,45.58334541,HU
520,-88.91666794,48.25000572,SU
520,-76.75,43.75001526,ON
521,-80.08333206,42.25000572,ER
521,-81.41666794,45.58334541,HU
521,-88.75,48.25000572,SU
521,-76.58333206,43.75001526,ON
522,-79.91666794,42.25000572,ER
522,-81.25,45.58334541,HU
522,-88.58333206,48.25000572,SU
522,-76.41666794,43.75001526,ON
523,-79.75,42.25000572,ER
523,-81.08333206,45.58334541,HU
523,-88.41666794,48.25000572,SU
523,-76.25,43.75001526,ON
524,-79.58333206,42.25000572,ER
524,-80.91666794,45.58334541,HU
524,-88.25,48.25000572,SU
525,-80.75,45.58334541,HU
525,-88.08333206,48.25000572,SU
526,-80.58333206,45.58334541,HU
526,-87.91666794,48.25000572,SU
527,-80.41666794,45.58334541,HU
527,-87.75,48.25000572,SU
528,-87.58333206,48.25000572,SU
529,-87.41666794,48.25000572,SU
530,-87.25,48.25000572,SU
531,-87.08333206,48.25000572,SU
532,-86.91666794,48.25000572,SU
533,-86.75,48.25000572,SU
534,-86.58333206,48.25000572,SU
535,-86.41666794,48.25000572,SU
536,-86.25,48.25000572,SU
537,-86.08333206,48.25000572,SU
602,-83.25,42.08333588,ER
603,-83.08333206,42.08333588,ER
603,-79.58333206,43.58334541,ON
604,-82.91666794,42.08333588,ER
604,-87.5,45.25000572,MI
604,-79.41666794,43.58334541,ON
605,-82.75,42.08333588,ER
605,-87.25,45.25000572,MI
605,-79.25,43.58334541,ON
606,-82.58333206,42.08333588,ER
606,-83.91666794,45.41667557,HU
606,-87.08333206,45.25000572,MI
606,-79.08333206,43.58334541,ON
607,-82.41666794,42.08333588,ER
607,-83.75,45.41667557,HU
607,-86.91666794,45.25000572,MI
607,-78.91666794,43.58334541,ON
608,-82.25,42.08333588,ER
608,-83.58333206,45.41667557,HU
608,-86.75,45.25000572,MI
608,-78.75,43.58334541,ON
609,-82.08333206,42.08333588,ER
609,-83.41666794,45.41667557,HU
609,-86.58333206,45.25000572,MI
609,-78.58333206,43.58334541,ON
610,-81.91666794,42.08333588,ER
610,-83.25,45.41667557,HU
610,-86.41666794,45.25000572,MI
610,-78.41666794,43.58334541,ON
611,-81.75,42.08333588,ER
611,-83.08333206,45.41667557,HU
611,-86.25,45.25000572,MI
611,-78.25,43.58334541,ON
612,-81.58333206,42.08333588,ER
612,-82.91666794,45.41667557,HU
612,-86.08333206,45.25000572,MI
612,-78.08333206,43.58334541,ON
613,-81.41666794,42.08333588,ER
613,-82.75,45.41667557,HU
613,-85.91666794,45.25000572,MI
613,-77.91666794,43.58334541,ON
614,-81.25,42.08333588,ER
614,-82.58333206,45.41667557,HU
614,-85.75,45.25000572,MI
614,-77.75,43.58334541,ON
615,-81.08333206,42.08333588,ER
615,-82.41666794,45.41667557,HU
615,-85.58333206,45.25000572,MI
615,-77.58333206,43.58334541,ON
616,-80.91666794,42.08333588,ER
616,-82.25,45.41667557,HU
616,-85.33333206,45.25000572,MI
616,-77.41666794,43.58334541,ON
617,-80.75,42.08333588,ER
617,-82.08333206,45.41667557,HU
617,-89.5,48.08333588,SU
617,-77.25,43.58334541,ON
618,-80.58333206,42.08333588,ER
618,-81.91666794,45.41667557,HU
618,-89.25,48.08333588,SU
618,-77.08333206,43.58334541,ON
619,-80.41666794,42.08333588,ER
619,-81.75,45.41667557,HU
619,-89.08333206,48.08333588,SU
619,-76.91666794,43.58334541,ON
620,-80.25,42.08333588,ER
620,-81.58333206,45.41667557,HU
620,-88.91666794,48.08333588,SU
620,-76.75,43.58334541,ON
621,-80.08333206,42.08333588,ER
621,-81.41666794,45.41667557,HU
621,-88.75,48.08333588,SU
621,-76.58333206,43.58334541,ON
622,-81.25,45.41667557,HU
622,-88.58333206,48.08333588,SU
622,-76.41666794,43.50000954,ON
623,-81.08333206,45.41667557,HU
623,-88.41666794,48.08333588,SU
623,-76.16666794,43.58334541,ON
624,-80.91666794,45.41667557,HU
624,-88.25,48.08333588,SU
625,-80.75,45.41667557,HU
625,-88.08333206,48.08333588,SU
626,-80.58333206,45.41667557,HU
626,-87.91666794,48.08333588,SU
627,-80.41666794,45.41667557,HU
627,-87.75,48.08333588,SU
628,-80.25,45.41667557,HU
628,-87.58333206,48.08333588,SU
629,-80.08333206,45.41667557,HU
629,-87.41666794,48.08333588,SU
630,-87.25,48.08333588,SU
631,-87.08333206,48.08333588,SU
632,-86.91666794,48.08333588,SU
633,-86.75,48.08333588,SU
634,-86.58333206,48.08333588,SU
635,-86.41666794,48.08333588,SU
636,-86.25,48.08333588,SU
637,-86,48.08333588,SU
701,-83.41666794,41.91667366,ER
702,-83.25,41.91667366,ER
702,-79.75,43.41667557,ON
703,-83.08333206,41.91667366,ER
703,-87.58333206,45.08333588,MI
703,-79.58333206,43.41667557,ON
704,-82.91666794,41.91667366,ER
704,-87.41666794,45.08333588,MI
704,-79.41666794,43.41667557,ON
705,-82.75,41.91667366,ER
705,-87.25,45.08333588,MI
705,-79.25,43.41667557,ON
706,-82.58333206,41.91667366,ER
706,-87.08333206,45.08333588,MI
706,-79.08333206,43.41667557,ON
707,-82.41666794,41.91667366,ER
